Country,Site(Region),Reference,Depth(m),LL(%),PL(%),w(%),s'v (kPa),s'p (kPa),su(test) (kPa),Test Type Su,St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5.5,70.0,30.0,75.0,19.5,28.0,12.0,'FV',5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6.5,70.0,25.0,65.0,24.5,35.0,11.0,'FV',4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7.5,80.0,30.0,85.0,29.5,50.0,14.0,'FV',5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.5,65.0,30.0,80.0,34.5,80.0,19.0,'FV',7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9.5,43.0,25.0,50.0,39.5,60.0,12.0,'FV',6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10.5,47.0,25.0,55.0,44.5,80.0,15.0,'FV',8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pernio (Location 1),,2.2,79.0,32.0,75.0,28.9,74.3,9.30,'FV',14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2.7,74.0,32.0,78.5,31.4,62.6,10.20,'FV',18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2.6,75.0,32.0,80.8,31.0,64.7,12.20,'FV',19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2.7,82.0,32.0,97.6,31.6,61.5,13.60,'FV',22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2.1,76.0,32.0,88.0,28.5,73.8,19.10,'FV',25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5.1,65.0,32.0,80.1,43.5,61.5,12.80,'FV',30.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3.1,65.0,32.0,83.0,33.5,51.5,9.30,'FV',32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2.2,46.0,32.0,61.7,29.1,73.9,18.60,'FV',32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5.7,58.0,32.0,80.9,46.4,64.4,11.60,'FV',33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3.6,63.0,32.0,86.0,36.0,54.0,9.90,'FV',35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4.2,64.0,32.0,90.0,39.1,57.1,12.80,'FV',35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5.2,64.0,32.0,70.9,44.1,62.1,15.40,'FV',35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6.1,38.0,32.0,47.9,48.5,66.5,13.30,'FV',36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4.7,55.0,32.0,88.2,41.6,59.6,14.80,'FV',37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3.2,60.0,32.0,82.3,33.9,51.9,11.30,'FV',39.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3.7,51.0,32.0,77.5,36.4,54.4,6.40,'FV',39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4.6,76.0,32.0,96.6,41.0,59.0,10.70,'FV',41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4.7,51.0,32.0,72.6,41.4,59.4,11.60,'FV',45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4.1,50.0,32.0,69.6,38.5,56.5,10.40,'FV',45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3.7,50.0,32.0,74.4,36.6,54.6,16.00,'FV',46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5.2,59.0,32.0,84.1,43.9,61.9,9.90,'FV',46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3.2,45.0,32.0,70.6,34.1,52.1,12.50,'FV',49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5.7,54.0,32.0,80.1,46.6,64.6,16.80,'FV',51.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4.2,51.0,32.0,72.0,38.9,56.9,11.30,'FV',51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5.6,50.0,32.0,75.9,46.0,64.0,11.30,'FV',57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pernio (Location 2),,1.5,89.9,36.0,58.9,19.0,64.0,38.0,'FV',64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2.5,89.9,36.0,110.0,24.2,44.2,10.0,'FV',58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3.0,86.3,36.0,104.0,26.4,41.4,8.7,'FV',55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3.5,71.1,36.0,94.0,28.6,38.6,7.5,'FV',53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4.0,60.2,36.0,84.0,30.8,40.8,8.7,'FV',52.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4.5,58.2,36.0,75.0,33.0,43.0,10.0,'FV',51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5.0,54.1,36.0,80.0,35.2,45.2,11.0,'FV',50.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5.5,50.4,36.0,75.0,37.4,47.4,15.0,'FV',47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6.0,52.0,36.0,80.0,39.6,49.6,17.0,'FV',43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6.5,66.9,36.0,92.0,41.8,51.8,14.0,'FV',39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7.0,75.5,36.0,84.0,44.0,54.0,16.0,'FV',39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7.5,75.9,36.0,88.0,46.2,56.2,17.0,'FV',40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.0,76.3,36.0,87.0,48.4,58.4,15.0,'FV',40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.5,76.7,36.0,86.0,50.6,60.6,16.5,'FV',45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9.0,77.2,36.0,88.0,52.8,62.8,15.0,'FV',45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9.5,77.2,36.0,85.0,55.0,65.0,21.0,'FV',40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2.0,75.0,25.0,75.0,21.5,45.0,13.0,'FV',11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3.0,75.0,30.0,75.0,27.0,30.0,10.0,'FV',20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5.0,51.0,25.0,75.0,38.0,60.0,16.0,'FV',21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6.0,49.0,30.0,65.0,43.5,65.0,18.0,'FV',20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Raisio, Autolava",,0.8,50.0,20.0,40.0,19.8,125.0,49.0,'FV',3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.5,70.0,20.0,70.0,18.5,39.0,13.0,'FV',10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2.5,70.0,23.0,90.0,24.5,50.0,10.0,'FV',9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3.0,75.0,25.0,90.0,27.0,38.0,12.0,'FV',8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4.0,100.0,27.0,130.0,32.0,40.0,14.0,'FV',10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Raisio, Krookila",,2.5,85.0,25.0,87.0,26.3,60.0,13.0,'FV',11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3.5,80.0,25.0,90.0,30.8,40.0,11.0,'FV',12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4.5,85.0,25.0,80.0,35.3,48.0,12.0,'FV',9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5.5,125.0,30.0,130.0,39.8,47.0,17.0,'FV',10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6.5,120.0,25.0,120.0,44.3,50.0,25.0,'FV',10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7.5,110.0,25.0,110.0,48.8,50.0,23.0,'FV',9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8.5,100.0,25.0,95.0,53.3,60.0,22.0,'FV',10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9.5,100.0,25.0,95.0,57.8,90.0,22.0,'FV',8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10.5,85.0,25.0,80.0,62.3,80.0,23.0,'FV',8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Raisio, Ristimaki",,0.5,70.0,30.0,70.0,7.5,30.0,10.0,'FV',12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.5,75.0,40.0,85.0,12.5,35.0,10.0,'FV',9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
